jk5	k6_as_query	Q70AZ9b_A1_hpg|hpg2cl	100.00
jk5	k6_as_query	Q9FDT8_ALod_phe-ac	73.81
jk5	k6_as_query	Q9Z4X5_A3(9)_asn	53.14
jk5	k6_as_query	P25464_A1_aad	74.62
jk5	k6_as_query	BGC0000314_WP_010369425.1_467_mod1_thr	100.00
jk5	k6_as_query	O68008_A5(12)_asn	56.14
jk5	k6_as_query	AHZ34232.1_1547_mod2_leu	73.00
jk5	k6_as_query	Q9F636_A1_lys	43.41
jk5	k6_as_query	Q9RLP6v1_A3_ala	100.00
jk5	k6_as_query	YP_003712466.1_562_mod1_val	100.00
jk5	k6_as_query	CCJ67640.1_3780_mod4_hse	89.09
jk5	k6_as_query	simA_mod10_leu	60.71
jk5	k6_as_query	Q83VS0_A3(13)_ala	94.12
jk5	k6_as_query	Q9FB27_A1_asn	42.75
jk5	k6_as_query	Q01886v2_A2_ala	100.00
jk5	k6_as_query	BGC0000449_AHF21228.1_10396_mod8_dab	100.00
jk5	k6_as_query	BGC0000398_AFH75330.1_2671_mod3_ser	89.34
jk5	k6_as_query	AEA30273.1_1527_mod2_pro	62.37
jk5	k6_as_query	BGC0001019_AHB82072.1_552_mod1_gly	59.67
jk5	k6_as_query	YP_702283.1_1525_mod2_fhorn	53.66
jk5	k6_as_query	BGC0000974_AIR74925.1_516_mod1_gly	97.48
jk5	k6_as_query	Q53526_A1_ala	76.61
jk5	k6_as_query	Q45R85_A2_glu	45.33
jk5	k6_as_query	YP_116975.1_508_mod1_lys	52.20
jk5	k6_as_query	BGC0000449_AHF21229.1_280_mod1_val	100.00
jk5	k6_as_query	Q50E73_A1(6)_orn	58.28
jk5	k6_as_query	Q70KJ7_A3_leu	98.25
jk5	k6_as_query	BGC0001178_AGS77309.1_471_mod1_hpg	82.95
jk5	k6_as_query	BGC0000464_CDG17982.1_3820_mod4_leu	89.63
jk5	k6_as_query	Q09164_A7_gly|sar	59.24
jk5	k6_as_query	AFZ61525.1_1627_mod2_val	70.39
jk5	k6_as_query	Q9KID8v1_A1_pip	100.00
